date,temperature,uncertainty
1862-01-01,1.2658e+01,3.78e-01
1862-02-01,1.3192e+01,2.95e-01
1862-03-01,1.4044e+01,2.84e-01
1862-04-01,1.4825e+01,3.16e-01
1862-05-01,1.5708e+01,2.60e-01
1862-06-01,1.6349e+01,2.44e-01
1862-07-01,1.6593e+01,2.32e-01
1862-08-01,1.6306e+01,2.47e-01
1862-09-01,1.5788e+01,2.45e-01
1862-10-01,1.4902e+01,2.69e-01
1862-11-01,1.3784e+01,3.10e-01
1862-12-01,1.2732e+01,3.72e-01
1863-01-01,1.3296e+01,4.17e-01
1863-02-01,1.3634e+01,3.89e-01
1863-03-01,1.4006e+01,3.12e-01
1863-04-01,1.5010e+01,3.19e-01
1863-05-01,1.5823e+01,2.81e-01
1863-06-01,1.6224e+01,2.66e-01
1863-07-01,1.6575e+01,3.01e-01
1863-08-01,1.6437e+01,2.76e-01
1863-09-01,1.5898e+01,2.83e-01
1863-10-01,1.4978e+01,2.78e-01
1863-11-01,1.3992e+01,2.87e-01
1863-12-01,1.3356e+01,3.87e-01
1864-01-01,1.2879e+01,3.32e-01
1864-02-01,1.3275e+01,3.72e-01
1864-03-01,1.3990e+01,3.07e-01
1864-04-01,1.4830e+01,2.91e-01
1864-05-01,1.5851e+01,2.82e-01
1864-06-01,1.6490e+01,2.85e-01
1864-07-01,1.6715e+01,2.56e-01
1864-08-01,1.6494e+01,2.50e-01
1864-09-01,1.5850e+01,2.71e-01
1864-10-01,1.4972e+01,2.51e-01
1864-11-01,1.4141e+01,2.81e-01
1864-12-01,1.3271e+01,2.76e-01
1865-01-01,1.3503e+01,3.48e-01
1865-02-01,1.3506e+01,3.29e-01
1865-03-01,1.3914e+01,3.23e-01
1865-04-01,1.4861e+01,3.00e-01
1865-05-01,1.5756e+01,2.70e-01
1865-06-01,1.6414e+01,2.77e-01
1865-07-01,1.6749e+01,2.92e-01
1865-08-01,1.6657e+01,2.87e-01
1865-09-01,1.6082e+01,2.90e-01
1865-10-01,1.5157e+01,2.86e-01
1865-11-01,1.4101e+01,3.16e-01
1865-12-01,1.3260e+01,3.33e-01
1866-01-01,1.3467e+01,3.25e-01
1866-02-01,1.3586e+01,3.28e-01
1866-03-01,1.3950e+01,3.09e-01
1866-04-01,1.4713e+01,2.67e-01
1866-05-01,1.5630e+01,2.79e-01
1866-06-01,1.6596e+01,2.58e-01
1866-07-01,1.7060e+01,2.59e-01
1866-08-01,1.6695e+01,2.88e-01
1866-09-01,1.5918e+01,2.72e-01
1866-10-01,1.5062e+01,2.80e-01
1866-11-01,1.4275e+01,2.69e-01
1866-12-01,1.3732e+01,2.99e-01
1867-01-01,1.3371e+01,3.64e-01
1867-02-01,1.3458e+01,3.48e-01
1867-03-01,1.4073e+01,2.67e-01
1867-04-01,1.5100e+01,2.77e-01
1867-05-01,1.5560e+01,2.41e-01
1867-06-01,1.6366e+01,2.52e-01
1867-07-01,1.6672e+01,2.44e-01
1867-08-01,1.6454e+01,2.56e-01
1867-09-01,1.6147e+01,2.54e-01
1867-10-01,1.5318e+01,2.51e-01
1867-11-01,1.4632e+01,3.10e-01
1867-12-01,1.3553e+01,3.65e-01
1868-01-01,1.3012e+01,3.04e-01
1868-02-01,1.3295e+01,3.23e-01
1868-03-01,1.4135e+01,2.56e-01
1868-04-01,1.5082e+01,2.41e-01
1868-05-01,1.5992e+01,2.41e-01
1868-06-01,1.6529e+01,2.31e-01
1868-07-01,1.7025e+01,2.26e-01
1868-08-01,1.6793e+01,2.51e-01
1868-09-01,1.6107e+01,2.17e-01
1868-10-01,1.5376e+01,2.18e-01
1868-11-01,1.4174e+01,2.24e-01
1868-12-01,1.3643e+01,2.60e-01
1869-01-01,1.3289e+01,3.50e-01
1869-02-01,1.3951e+01,3.03e-01
1869-03-01,1.3947e+01,2.55e-01
1869-04-01,1.5016e+01,2.81e-01
1869-05-01,1.5896e+01,2.54e-01
1869-06-01,1.6396e+01,2.34e-01
1869-07-01,1.6667e+01,2.18e-01
1869-08-01,1.6711e+01,2.01e-01
1869-09-01,1.6180e+01,1.93e-01
1869-10-01,1.5171e+01,2.06e-01
1869-11-01,1.4255e+01,2.16e-01
1869-12-01,1.3307e+01,2.12e-01
1870-01-01,1.3304e+01,2.77e-01
1870-02-01,1.3359e+01,2.53e-01
1870-03-01,1.4139e+01,2.20e-01
1870-04-01,1.5052e+01,2.18e-01
1870-05-01,1.5826e+01,2.35e-01
1870-06-01,1.6511e+01,2.08e-01
1870-07-01,1.6860e+01,1.90e-01
1870-08-01,1.6617e+01,1.96e-01
1870-09-01,1.6073e+01,1.95e-01
1870-10-01,1.5056e+01,2.34e-01
1870-11-01,1.4079e+01,2.29e-01
1870-12-01,1.3176e+01,2.43e-01
1871-01-01,1.3089e+01,2.87e-01
1871-02-01,1.3299e+01,3.26e-01
1871-03-01,1.4223e+01,2.51e-01
1871-04-01,1.5233e+01,2.06e-01
1871-05-01,1.5770e+01,2.05e-01
1871-06-01,1.6458e+01,1.88e-01
1871-07-01,1.6858e+01,1.93e-01
1871-08-01,1.6653e+01,1.93e-01
1871-09-01,1.6020e+01,2.19e-01
1871-10-01,1.5061e+01,2.06e-01
1871-11-01,1.3972e+01,2.85e-01
1871-12-01,1.3435e+01,2.25e-01
1872-01-01,1.3041e+01,3.25e-01
1872-02-01,1.3376e+01,3.01e-01
1872-03-01,1.4107e+01,2.39e-01
1872-04-01,1.4969e+01,2.17e-01
1872-05-01,1.5927e+01,2.10e-01
1872-06-01,1.6361e+01,1.93e-01
1872-07-01,1.6843e+01,2.05e-01
1872-08-01,1.6822e+01,2.00e-01
1872-09-01,1.6173e+01,1.78e-01
1872-10-01,1.5181e+01,1.87e-01
1872-11-01,1.4101e+01,2.09e-01
1872-12-01,1.3331e+01,3.02e-01
1873-01-01,1.3353e+01,2.51e-01
1873-02-01,1.3707e+01,2.69e-01
1873-03-01,1.4151e+01,2.53e-01
1873-04-01,1.4879e+01,2.39e-01
1873-05-01,1.5821e+01,2.04e-01
1873-06-01,1.6429e+01,2.15e-01
1873-07-01,1.6805e+01,1.94e-01
1873-08-01,1.6726e+01,1.91e-01
1873-09-01,1.5965e+01,1.89e-01
1873-10-01,1.5130e+01,2.03e-01
1873-11-01,1.4094e+01,2.15e-01
1873-12-01,1.3531e+01,2.42e-01
1874-01-01,1.3392e+01,2.83e-01
1874-02-01,1.3458e+01,2.58e-01
1874-03-01,1.3807e+01,2.25e-01
1874-04-01,1.4910e+01,1.86e-01
1874-05-01,1.5750e+01,2.07e-01
1874-06-01,1.6211e+01,2.05e-01
1874-07-01,1.6745e+01,1.97e-01
1874-08-01,1.6645e+01,1.82e-01
1874-09-01,1.6122e+01,1.78e-01
1874-10-01,1.5005e+01,1.95e-01
1874-11-01,1.4013e+01,2.30e-01
1874-12-01,1.3426e+01,2.14e-01
1875-01-01,1.3027e+01,2.46e-01
1875-02-01,1.3350e+01,2.57e-01
1875-03-01,1.3974e+01,2.00e-01
1875-04-01,1.4923e+01,1.86e-01
1875-05-01,1.5792e+01,1.83e-01
1875-06-01,1.6358e+01,1.85e-01
1875-07-01,1.6683e+01,1.75e-01
1875-08-01,1.6638e+01,1.87e-01
1875-09-01,1.6059e+01,1.86e-01
1875-10-01,1.5125e+01,1.85e-01
1875-11-01,1.3905e+01,1.82e-01
1875-12-01,1.3229e+01,1.93e-01
1876-01-01,1.3100e+01,2.09e-01
1876-02-01,1.3496e+01,2.08e-01
1876-03-01,1.4047e+01,2.10e-01
1876-04-01,1.4950e+01,1.93e-01
1876-05-01,1.5570e+01,2.04e-01
1876-06-01,1.6290e+01,1.54e-01
1876-07-01,1.6848e+01,1.73e-01
1876-08-01,1.6579e+01,1.86e-01
1876-09-01,1.5890e+01,2.00e-01
1876-10-01,1.5047e+01,1.75e-01
1876-11-01,1.3903e+01,1.87e-01
1876-12-01,1.3193e+01,2.21e-01
1877-01-01,1.3306e+01,2.49e-01
1877-02-01,1.3732e+01,2.32e-01
1877-03-01,1.4459e+01,2.04e-01
1877-04-01,1.5126e+01,1.97e-01
1877-05-01,1.5854e+01,1.85e-01
1877-06-01,1.6594e+01,2.00e-01
1877-07-01,1.7004e+01,1.83e-01
1877-08-01,1.7076e+01,1.74e-01
1877-09-01,1.6437e+01,1.87e-01
1877-10-01,1.5536e+01,1.65e-01
1877-11-01,1.4564e+01,1.95e-01
1877-12-01,1.3704e+01,1.90e-01
1878-01-01,1.3538e+01,1.91e-01
1878-02-01,1.4177e+01,2.14e-01
1878-03-01,1.4882e+01,2.03e-01
1878-04-01,1.5573e+01,1.85e-01
1878-05-01,1.6016e+01,1.88e-01
1878-06-01,1.6711e+01,1.85e-01
1878-07-01,1.6999e+01,1.83e-01
1878-08-01,1.6905e+01,1.84e-01
1878-09-01,1.6267e+01,1.77e-01
1878-10-01,1.5307e+01,1.65e-01
1878-11-01,1.4388e+01,1.84e-01
1878-12-01,1.3526e+01,1.76e-01
1879-01-01,1.3349e+01,2.30e-01
1879-02-01,1.3630e+01,2.33e-01
1879-03-01,1.4340e+01,1.83e-01
1879-04-01,1.4987e+01,1.82e-01
1879-05-01,1.5807e+01,1.64e-01
1879-06-01,1.6501e+01,1.76e-01
1879-07-01,1.6746e+01,1.64e-01
1879-08-01,1.6635e+01,1.71e-01
1879-09-01,1.6007e+01,1.63e-01
1879-10-01,1.5250e+01,1.56e-01
1879-11-01,1.4203e+01,1.68e-01
1879-12-01,1.3318e+01,2.11e-01
1880-01-01,1.3129e+01,2.04e-01
1880-02-01,1.3407e+01,1.87e-01
1880-03-01,1.4273e+01,1.86e-01
1880-04-01,1.5008e+01,1.94e-01
1880-05-01,1.5850e+01,1.72e-01
1880-06-01,1.6400e+01,1.75e-01
1880-07-01,1.6687e+01,1.67e-01
1880-08-01,1.6695e+01,1.63e-01
1880-09-01,1.5918e+01,1.48e-01
1880-10-01,1.5024e+01,1.49e-01
1880-11-01,1.4233e+01,1.62e-01
1880-12-01,1.3480e+01,1.68e-01
1881-01-01,1.3396e+01,2.21e-01
1881-02-01,1.3625e+01,2.10e-01
1881-03-01,1.4355e+01,1.93e-01
1881-04-01,1.5267e+01,1.57e-01
1881-05-01,1.5999e+01,1.72e-01
1881-06-01,1.6329e+01,1.64e-01
1881-07-01,1.6783e+01,1.55e-01
1881-08-01,1.6665e+01,1.54e-01
1881-09-01,1.5982e+01,1.41e-01
1881-10-01,1.5115e+01,1.48e-01
1881-11-01,1.4019e+01,1.57e-01
1881-12-01,1.3511e+01,1.69e-01
1882-01-01,1.3632e+01,1.80e-01
1882-02-01,1.3843e+01,1.72e-01
1882-03-01,1.4339e+01,1.85e-01
1882-04-01,1.5031e+01,1.56e-01
1882-05-01,1.5816e+01,1.51e-01
1882-06-01,1.6356e+01,1.42e-01
1882-07-01,1.6634e+01,1.48e-01
1882-08-01,1.6678e+01,1.71e-01
1882-09-01,1.6108e+01,1.41e-01
1882-10-01,1.5022e+01,1.51e-01
1882-11-01,1.4033e+01,1.57e-01
1882-12-01,1.3187e+01,1.67e-01
1883-01-01,1.3106e+01,1.90e-01
1883-02-01,1.3358e+01,1.80e-01
1883-03-01,1.4236e+01,1.62e-01
1883-04-01,1.4916e+01,1.66e-01
1883-05-01,1.5825e+01,1.53e-01
1883-06-01,1.6512e+01,1.39e-01
1883-07-01,1.6664e+01,1.46e-01
1883-08-01,1.6538e+01,1.36e-01
1883-09-01,1.5956e+01,1.37e-01
1883-10-01,1.5054e+01,1.23e-01
1883-11-01,1.3943e+01,1.35e-01
1883-12-01,1.3451e+01,1.47e-01
1884-01-01,1.3279e+01,1.70e-01
1884-02-01,1.3600e+01,1.76e-01
1884-03-01,1.3914e+01,1.74e-01
1884-04-01,1.4744e+01,1.36e-01
1884-05-01,1.5558e+01,1.40e-01
1884-06-01,1.6185e+01,1.44e-01
1884-07-01,1.6434e+01,1.43e-01
1884-08-01,1.6408e+01,1.51e-01
1884-09-01,1.5826e+01,1.48e-01
1884-10-01,1.4954e+01,1.30e-01
1884-11-01,1.3827e+01,1.44e-01
1884-12-01,1.3270e+01,1.52e-01
1885-01-01,1.2889e+01,2.15e-01
1885-02-01,1.3327e+01,1.92e-01
1885-03-01,1.4021e+01,1.46e-01
1885-04-01,1.4747e+01,1.48e-01
1885-05-01,1.5565e+01,1.45e-01
1885-06-01,1.6105e+01,1.29e-01
1885-07-01,1.6601e+01,1.42e-01
1885-08-01,1.6438e+01,1.57e-01
1885-09-01,1.5907e+01,1.40e-01
1885-10-01,1.5054e+01,1.37e-01
1885-11-01,1.4057e+01,1.43e-01
1885-12-01,1.3542e+01,1.65e-01
1886-01-01,1.3001e+01,1.81e-01
1886-02-01,1.3176e+01,1.60e-01
1886-03-01,1.3888e+01,1.35e-01
1886-04-01,1.4841e+01,1.29e-01
1886-05-01,1.5837e+01,1.65e-01
1886-06-01,1.6197e+01,1.27e-01
1886-07-01,1.6622e+01,1.38e-01
1886-08-01,1.6458e+01,1.37e-01
1886-09-01,1.5831e+01,1.31e-01
1886-10-01,1.4979e+01,1.39e-01
1886-11-01,1.3877e+01,1.41e-01
1886-12-01,1.3316e+01,1.61e-01
1887-01-01,1.2620e+01,1.87e-01
1887-02-01,1.3096e+01,1.66e-01
1887-03-01,1.3946e+01,1.60e-01
1887-04-01,1.4941e+01,1.41e-01
1887-05-01,1.5651e+01,1.53e-01
1887-06-01,1.6214e+01,1.36e-01
1887-07-01,1.6630e+01,1.37e-01
1887-08-01,1.6372e+01,1.38e-01
1887-09-01,1.5916e+01,1.47e-01
1887-10-01,1.4983e+01,1.26e-01
1887-11-01,1.4037e+01,1.45e-01
1887-12-01,1.3386e+01,1.66e-01
1888-01-01,1.3132e+01,1.48e-01
1888-02-01,1.3320e+01,1.65e-01
1888-03-01,1.3972e+01,1.52e-01
1888-04-01,1.4938e+01,1.57e-01
1888-05-01,1.5730e+01,1.52e-01
1888-06-01,1.6360e+01,1.53e-01
1888-07-01,1.6686e+01,1.35e-01
1888-08-01,1.6611e+01,1.58e-01
1888-09-01,1.5995e+01,1.42e-01
1888-10-01,1.5318e+01,1.31e-01
1888-11-01,1.4259e+01,1.44e-01
1888-12-01,1.3608e+01,1.54e-01
1889-01-01,1.3417e+01,1.68e-01
1889-02-01,1.3954e+01,1.56e-01
1889-03-01,1.4446e+01,1.65e-01
1889-04-01,1.5305e+01,1.46e-01
1889-05-01,1.5915e+01,1.53e-01
1889-06-01,1.6498e+01,1.32e-01
1889-07-01,1.6796e+01,1.44e-01
1889-08-01,1.6604e+01,1.53e-01
1889-09-01,1.5913e+01,1.46e-01
1889-10-01,1.5116e+01,1.39e-01
1889-11-01,1.3996e+01,1.69e-01
1889-12-01,1.3401e+01,1.58e-01
1890-01-01,1.3068e+01,1.57e-01
1890-02-01,1.3394e+01,1.57e-01
1890-03-01,1.3891e+01,1.58e-01
1890-04-01,1.4875e+01,1.53e-01
1890-05-01,1.5624e+01,1.56e-01
1890-06-01,1.6250e+01,1.47e-01
1890-07-01,1.6528e+01,1.53e-01
1890-08-01,1.6427e+01,1.48e-01
1890-09-01,1.5842e+01,1.45e-01
1890-10-01,1.5020e+01,1.35e-01
1890-11-01,1.3803e+01,1.38e-01
1890-12-01,1.3367e+01,1.49e-01
1891-01-01,1.3037e+01,1.55e-01
1891-02-01,1.3298e+01,1.65e-01
1891-03-01,1.4191e+01,1.53e-01
1891-04-01,1.4918e+01,1.47e-01
1891-05-01,1.5844e+01,1.62e-01
1891-06-01,1.6297e+01,1.37e-01
1891-07-01,1.6620e+01,1.55e-01
1891-08-01,1.6549e+01,1.62e-01
1891-09-01,1.6070e+01,1.40e-01
1891-10-01,1.5023e+01,1.47e-01
1891-11-01,1.3920e+01,1.51e-01
1891-12-01,1.3559e+01,1.69e-01
1892-01-01,1.3264e+01,1.62e-01
1892-02-01,1.3667e+01,1.46e-01
1892-03-01,1.3979e+01,1.58e-01
1892-04-01,1.4804e+01,1.49e-01
1892-05-01,1.5655e+01,1.58e-01
1892-06-01,1.6303e+01,1.49e-01
1892-07-01,1.6476e+01,1.57e-01
1892-08-01,1.6390e+01,1.55e-01
1892-09-01,1.5998e+01,1.45e-01
1892-10-01,1.5126e+01,1.47e-01
1892-11-01,1.3732e+01,1.56e-01
1892-12-01,1.3196e+01,1.90e-01
1893-01-01,1.2702e+01,1.86e-01
1893-02-01,1.3230e+01,1.61e-01
1893-03-01,1.4111e+01,1.63e-01
1893-04-01,1.4871e+01,1.47e-01
1893-05-01,1.5662e+01,1.55e-01
1893-06-01,1.6382e+01,1.44e-01
1893-07-01,1.6788e+01,1.55e-01
1893-08-01,1.6650e+01,1.53e-01
1893-09-01,1.5932e+01,1.39e-01
1893-10-01,1.5152e+01,1.39e-01
1893-11-01,1.4079e+01,1.44e-01
1893-12-01,1.3388e+01,1.65e-01
1894-01-01,1.3039e+01,1.59e-01
1894-02-01,1.3455e+01,1.55e-01
1894-03-01,1.4080e+01,1.67e-01
1894-04-01,1.4794e+01,1.56e-01
1894-05-01,1.5656e+01,1.48e-01
1894-06-01,1.6226e+01,1.42e-01
1894-07-01,1.6687e+01,1.56e-01
1894-08-01,1.6565e+01,1.51e-01
1894-09-01,1.5927e+01,1.41e-01
1894-10-01,1.5165e+01,1.34e-01
1894-11-01,1.4036e+01,1.46e-01
1894-12-01,1.3347e+01,1.49e-01
1895-01-01,1.3084e+01,1.40e-01
1895-02-01,1.3303e+01,1.53e-01
1895-03-01,1.3989e+01,1.57e-01
1895-04-01,1.5005e+01,1.54e-01
1895-05-01,1.5703e+01,1.58e-01
1895-06-01,1.6352e+01,1.41e-01
1895-07-01,1.6716e+01,1.53e-01
1895-08-01,1.6612e+01,1.51e-01
1895-09-01,1.5981e+01,1.41e-01
1895-10-01,1.5151e+01,1.25e-01
1895-11-01,1.4219e+01,1.38e-01
1895-12-01,1.3513e+01,1.51e-01
1896-01-01,1.3366e+01,1.62e-01
1896-02-01,1.3576e+01,1.46e-01
1896-03-01,1.4047e+01,1.45e-01
1896-04-01,1.4895e+01,1.60e-01
1896-05-01,1.5817e+01,1.60e-01
1896-06-01,1.6515e+01,1.40e-01
1896-07-01,1.6866e+01,1.51e-01
1896-08-01,1.6762e+01,1.57e-01
1896-09-01,1.6143e+01,1.42e-01
1896-10-01,1.5270e+01,1.30e-01
1896-11-01,1.4187e+01,1.41e-01
1896-12-01,1.3643e+01,1.42e-01
